分行代碼,限額,normal low a,normal low b,normal low c,normal low d,normal mid a,normal mid b,normal mid c,normal high a,normal high b,normal high c,normal high d
0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,0,0,21,23,23,26,29,26,33,500,500
2,43,0,0,27,28.7,28.7,33,37.3,33,47.3,500,500
3,37,0,0,6,11.3,11.3,15,18.7,15,40.7,500,500
4,47,0,0,5,5.3,5.3,10,14.7,10,51.7,500,500
5,43,0,0,30,33.2,33.2,37.5,41.8,37.5,47.3,500,500
6,43,0,0,30,32.7,32.7,37,41.3,37,47.3,500,500
7,37,0,0,18,21.3,21.3,25,28.7,25,40.7,500,500
8,0,0,0,0,0,0,0,0,0,0,0,0
9,33,0,0,21,22.7,22.7,26,29.3,26,36.3,500,500
10,43,0,0,30,36.2,36.2,40.5,44.8,40.5,47.3,500,500
11,40,0,0,12.5,18.5,18.5,22.5,26.5,22.5,44,500,500
12,43,0,0,10.75,25.7,25.7,30,34.3,30,47.3,500,500
13,37,0,0,17.5,26.3,26.3,30,33.7,30,40.7,500,500
14,0,0,0,0,0,0,0,0,0,0,0,0
15,35,0,0,20,24.5,24.5,28,31.5,28,38.5,500,500
16,47,0,0,11.75,25.3,25.3,30,34.7,30,51.7,500,500
17,40,0,0,10,28.5,28.5,32.5,36.5,32.5,44,500,500
18,45,0,0,26,28,28,32.5,37,32.5,49.5,500,500
19,57,0,0,14.25,24.3,24.3,30,35.7,30,62.7,500,500
20,0,0,0,0,0,0,0,0,0,0,0,0
21,50,0,0,27.5,32.5,32.5,37.5,42.5,37.5,55,500,500
22,43,0,0,16.5,25.7,25.7,30,34.3,30,47.3,500,500
23,30,0,0,20,23,23,26,29,26,33,500,500
24,45,0,0,20,28,28,32.5,37,32.5,49.5,500,500
25,40,0,0,10,31,31,35,39,35,44,500,500
26,0,0,0,0,0,0,0,0,0,0,0,0
27,37,0,0,30,30.3,30.3,34,37.7,34,40.7,500,500
28,37,0,0,15,17.3,17.3,21,24.7,21,40.7,500,500
29,37,0,0,20,25.8,25.8,29.5,33.2,29.5,40.7,500,500
30,40,0,0,17,26,26,30,34,0,44,500,500
31,38,0,0,22,27.2,27.2,31,34.8,31,41.8,500,500
32,43,0,0,20,22.2,22.2,26.5,30.8,26.5,47.3,500,500
33,55,0,0,38,39.5,39.5,45,50.5,0,60.5,500,500
34,35,0,0,20,24,24,27.5,31,27.5,38.5,500,500
35,37,0,0,20,28.8,28.8,32.5,36.2,32.5,40.7,500,500
36,43,0,0,12,20.7,20.7,25,29.3,25,47.3,500,500
37,30,0,0,13,20,20,23,26,23,33,500,500
38,60,0,0,15,34,34,40,46,40,66,500,500
39,30,0,0,18,22,22,25,28,25,33,500,500
40,25,0,0,10,15,15,17.5,20,17.5,27.5,500,500
41,33,0,0,10,21.7,21.7,25,28.3,25,36.3,500,500
42,60,0,0,20,33,33,39,45,39,66,500,500
43,43,0,0,20,30.7,30.7,35,39.3,35,47.3,500,500
44,25,0,0,15,18.5,18.5,21,23.5,21,27.5,500,500
45,35,0,0,20,23.5,23.5,27,30.5,27,38.5,500,500
46,40,0,0,20,26,26,30,34,30,44,500,500
47,30,0,0,20,21,21,24,27,24,33,500,500
48,25,0,0,15,20,20,22.5,25,22.5,27.5,500,500
49,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0
