,0,1
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
9,9,0
10,10,0.229787821
11,11,0
12,12,0
13,13,-0.211691624
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
101,101,0
103,103,0
104,104,0
105,105,0
106,106,0
107,107,0
108,108,0
109,109,0
110,110,-0.121085874
111,111,0
112,112,-0.003478742
113,113,0
115,115,0
116,116,0.281286098
117,117,0
118,118,0
119,119,0
120,120,-0.127207582
121,121,0
122,122,0
123,123,0
125,125,0
126,126,0
127,127,0
128,128,0
129,129,0
131,131,0
132,132,0
133,133,-0.043337467
134,134,0
135,135,0
136,136,0
137,137,0
138,138,0
139,139,0
140,140,0
141,141,0
143,143,0
144,144,0
145,145,0
146,146,0
147,147,0
148,148,0
149,149,0
150,150,0
153,153,0.172849798
154,154,0
155,155,0
156,156,0
157,157,-0.289683704
158,158,0
159,159,0.101337324
160,160,0
162,162,0
164,164,0
165,165,0
166,166,-0.241867203
169,169,0
170,170,0
171,171,0
172,172,0
173,173,0
174,174,0
175,175,0
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
181,181,0
182,182,0
183,183,0
185,185,0
186,186,0
187,187,0
188,188,0
189,189,0
190,190,0
192,192,0
193,193,0
196,196,-0.006945309
